ttt393,845, 
ttt764,296, 
ttt233,736, 
ttt876,815, 
ttt745,339, 
ttt292,425, 
ttt955,114, 
ttt154,154, 
ttt549,855, 
ttt846,755, 
ttt714,761, 
ttt795,423, 
ttt817,535, 
ttt485,516, 
ttt953,225, 
ttt791,988, 
ttt597,591, 
ttt864,974, 
ttt686,292, 
ttt875,763, 
ttt228,669, 
ttt545,559, 
ttt631,213, 
ttt445,812, 
ttt682,516, 
ttt529,361, 
ttt298,542, 
ttt315,311, 
ttt238,412, 
ttt417,965, 
ttt729,353, 
ttt881,462, 
ttt923,439, 
ttt196,592, 
ttt345,691, 
ttt727,522, 
ttt141,736, 
ttt351,453, 
ttt412,614, 
ttt343,938, 
ttt982,341, 
ttt772,416, 
ttt253,542, 
ttt614,149, 
ttt135,489, 
ttt434,269, 
ttt819,968, 
ttt548,147, 
ttt443,795, 
ttt397,834, 
