ttt861,765, 
ttt142,692, 
ttt392,991, 
ttt313,274, 
ttt662,666, 
ttt934,199, 
ttt163,882, 
ttt595,133, 
ttt222,849, 
ttt767,317, 
ttt223,877, 
ttt927,144, 
ttt363,374, 
ttt866,564, 
ttt295,332, 
ttt831,698, 
ttt924,256, 
ttt977,198, 
ttt296,553, 
ttt215,427, 
ttt378,276, 
ttt652,154, 
ttt537,888, 
ttt269,496, 
ttt734,727, 
ttt167,651, 
ttt638,861, 
ttt932,335, 
ttt186,519, 
ttt931,512, 
ttt636,414, 
ttt985,722, 
ttt523,891, 
ttt879,271, 
ttt395,937, 
ttt479,961, 
ttt385,741, 
ttt214,791, 
ttt342,777, 
ttt922,235, 
ttt189,597, 
ttt994,811, 
ttt825,458, 
ttt796,574, 
ttt885,129, 
ttt146,126, 
ttt468,932, 
ttt993,938, 
ttt816,477, 
ttt633,422, 
