fff8368,472894, 
fff7832,843357, 
fff7333,131998, 
fff2595,241432, 
fff4424,375642, 
fff2515,272587, 
fff4175,845169, 
fff1846,315445, 
fff2621,657872, 
fff6694,498588, 
fff3629,824212, 
fff4664,467893, 
fff8982,619693, 
fff5252,494395, 
fff6992,135627, 
fff4192,324132, 
fff7191,237169, 
fff1899,695459, 
fff7148,157156, 
fff2454,375593, 
fff8145,977619, 
fff6343,398628, 
fff7217,145318, 
fff3432,933652, 
fff4688,328459, 
fff2592,472578, 
fff8245,671737, 
fff3153,925688, 
fff1277,776292, 
fff2574,714152, 
fff2216,171624, 
fff2938,851395, 
fff3492,966627, 
fff7785,443756, 
fff4278,876661, 
fff1589,448457, 
fff3625,824123, 
fff6668,334264, 
fff6664,175325, 
fff1267,654362, 
fff7611,246912, 
fff1291,581561, 
fff6749,669467, 
fff1116,553616, 
fff4273,551539, 
fff9963,466988, 
fff9477,382774, 
fff6156,884214, 
fff4714,226673, 
fff3861,549536, 
