15d4325,614654, 
15d9477,859167, 
15d3869,472148, 
15d3723,987357, 
15d1149,128661, 
15d3697,394928, 
15d1223,935241, 
15d4949,231891, 
15d5275,334358, 
15d3873,867682, 
15d9553,167237, 
15d5572,525455, 
15d7822,579394, 
15d6753,261222, 
15d7128,571769, 
15d2836,749179, 
15d5116,223925, 
15d9592,471983, 
15d6311,247384, 
15d5481,147184, 
15d2443,535385, 
15d5367,951875, 
15d6567,439454, 
15d3335,416393, 
15d7795,861921, 
15d3912,865863, 
15d6392,278157, 
15d7266,187228, 
15d9362,455924, 
15d4123,955562, 
15d9486,141467, 
15d8658,132181, 
15d2859,349739, 
15d6743,313634, 
15d2866,897597, 
15d8255,591612, 
15d8119,125735, 
15d4916,161498, 
15d2199,697596, 
15d3883,567719, 
15d4953,941228, 
15d8875,354341, 
15d6162,267136, 
15d9262,622671, 
15d1611,774267, 
15d5842,826199, 
15d2751,246433, 
15d3117,323654, 
15d9864,531852, 
15d1799,614537, 
